brand_slug,name,location_type,channel_type,category_label,region_label,address,url,evidence_url,source_type,source_chain,confidence,notes
bao-needle-felt,包．手作羊毛氈 工作室,showroom_studio,offline,手作／體驗空間,桃園,桃園市桃園區中華路33號7樓-18,https://www.baobaohandmade.com/,https://www.baobaohandmade.com/pages/contact-us,official_website,official website → store/location page,high,官方聯絡頁與 2026 課程頁支持目前對外課程／體驗。
guitar-player,吉他玩家 Guitar Player 實體店鋪,direct_store,offline,品牌直營,台南,臺南市北區北安路一段94巷18號1樓,https://www.guitarplayer.tw/,https://www.guitarplayer.tw/pages/about,official_website,official website → store/location page,high,官方 About 頁列示門市；採半預約制。
handmadeship,HANDMADESHIP 中環街市店,direct_store,offline,品牌直營,香港,香港中環皇后大道中93號／德輔道中80號 中環街市2樓208號舖,https://www.handmadeshiphk.com/,https://www.andthen.hk/buy/112478_2026-%E9%A6%AC%E5%B9%B4-%E5%88%A9%E6%98%AF%E5%B0%81-%E6%8F%AE%E6%98%A5/,reliable_media,current 2026 retail guide → HANDMADESHIP store,high,2026 媒體資料明列目前中環街市店舖位置。
his-cross-concept,Rocco Coffee 若渴咖啡｜HIS 展售,shop_in_shop,offline,展售據點,台北,台北市中山區南京東路三段119號,,https://www.histhygift.com/pages/%E6%9C%8D%E5%8B%99%E6%93%9A%E9%BB%9E,official_website,official website → store/location page,high,HIS 官方服務據點頁列示；部分據點需預約或僅提供部分商品。
his-cross-concept,Standfirm｜HIS 特約專櫃,shop_in_shop,offline,預約專櫃,台北,台北市南港區南港路三段16巷8號2樓,,https://www.histhygift.com/pages/%E6%9C%8D%E5%8B%99%E6%93%9A%E9%BB%9E,official_website,official website → store/location page,high,HIS 官方服務據點頁列示；部分據點需預約或僅提供部分商品。
his-cross-concept,高雄以諾書房｜HIS 展售,stockist,offline,零售通路,高雄,高雄市新興區中正三路70號,,https://www.histhygift.com/pages/%E6%9C%8D%E5%8B%99%E6%93%9A%E9%BB%9E,official_website,official website → store/location page,high,HIS 官方服務據點頁列示；部分據點需預約或僅提供部分商品。
lin-tsao-kung-fang,藺草工坊,showroom_studio,offline,工藝展售／體驗,台南,臺南市西港區檨林里24號,https://www.facebook.com/rushworkshop,https://www.twtainan.net/zh-tw/attractions/detail/5617/,government_directory,current Tainan tourism directory → retail & DIY venue,high,台南市官方旅遊資料 2026 更新；可購買作品並體驗 DIY。
littdlework,南西誠品 繡珍烘培屋,direct_store,offline,品牌直營,台北,台北市中山區南京西路14號4樓,,https://www.littdlework.com/pages/%E5%95%86%E5%BA%97,official_website,official website → store/location page,high,官方商店頁目前列示。
littdlework,繡珍森活 東門旗艦店,direct_store,offline,品牌直營,台北,台北市大安區永康街4巷12號,,https://www.littdlework.com/pages/%E5%95%86%E5%BA%97,official_website,official website → store/location page,high,官方商店頁目前列示。
littdlework,華山旅圖所,direct_store,offline,品牌直營,台北,台北市中正區八德路一段1號（華山1914文化創意產業園區－蒸餾室）,,https://www.littdlework.com/pages/%E5%95%86%E5%BA%97,official_website,official website → store/location page,high,官方商店頁目前列示。
