brand_slug,name,location_type,channel_type,category_label,region_label,address,url,evidence_url,source_type,source_chain,confidence,notes
bubble-nara,Bubble Nara 波波娜拉 台南安平試鞋工作室,showroom_studio,offline,服飾鞋履,臺南市,臺南市安平區民權路四段751號,https://www.bubble-nara.com/,https://www.instagram.com/bubblenara168/,instagram_bio,formoria_brand_page → instagram_profile → bio → physical_address,high,採預約制；提供門市試穿
keizu,Keizu 凱茲好鞋好設計 台南門市,direct_store,offline,服飾鞋履,臺南市,臺南市中西區西華南街28號,https://keizu.com.tw/,https://keizu.com.tw/,official_website,official_website → store_information,high,官網列示營業時間：週五～週日 14:00–20:00
keizu,Keizu 凱茲好鞋好設計 台中門市,department_store_counter,offline,服飾鞋履,臺中市,臺中市北區三民路三段161號 中友百貨C棟10樓,https://keizu.com.tw/,https://keizu.com.tw/,official_website,official_website → store_information,high,官網列示中友百貨C棟10樓；每日營業
sydnni,SYDNNI 台北工作室,showroom_studio,offline,服飾鞋履,臺北市,臺北市中正區信義路二段251號9樓A,https://sydnni.com/,https://www.instagram.com/sydnni.co/,instagram_bio,formoria_brand_page → instagram_profile → studio_address,high,東門捷運站7號出口；官方社群持續發布工作室開放試穿時段
fye,FYE 專賣店－法樂齊,direct_store,offline,服飾鞋履,臺中市,臺中市南區忠明南路787號37樓C06室,https://foryourearth.com/our-stores/,https://foryourearth.com/our-stores/,official_website,official_website → our_stores,high,官網列為 Fye 專賣店；提供預約試穿
hutch-asap,OFFSET 中山門市,stockist,offline,服飾鞋履,臺北市,臺北市大同區赤峰街47巷10號,https://www.offsetstudio.com.tw/,https://hutch-asap.com/pages/retail-partners,official_website,official_website → retail_partners,high,HUTCH ASAP 官方合作經銷通路
hutch-asap,Zipper 選貨店,stockist,offline,服飾鞋履,臺中市,臺中市北區一中街116巷27號,https://www.zippertw.co/,https://hutch-asap.com/pages/retail-partners,official_website,official_website → retail_partners,high,HUTCH ASAP 官方合作經銷通路
hutch-asap,Openjoynt｜拓幸良品,stockist,offline,服飾鞋履,臺中市,臺中市北區崇德路一段503巷18號,https://www.openjoynt.com/,https://hutch-asap.com/pages/retail-partners,official_website,official_website → retail_partners,high,HUTCH ASAP 官方合作經銷通路
hutch-asap,OFFSET 一中門市,stockist,offline,服飾鞋履,臺中市,臺中市北區錦新街31號,https://www.offsetstudio.com.tw/,https://hutch-asap.com/pages/retail-partners,official_website,official_website → retail_partners,high,HUTCH ASAP 官方合作經銷通路
hutch-asap,Coffee Stopover Black,stockist,offline,服飾鞋履,臺中市,臺中市西區福龍街7號1樓,https://www.coffeestopover.com/,https://hutch-asap.com/pages/retail-partners,official_website,official_website → retail_partners,high,HUTCH ASAP 官方合作經銷通路
hutch-asap,光環城堡 HALO CASTLE,stockist,offline,服飾鞋履,嘉義市,嘉義市西區光彩街458號,https://www.instagram.com/halocastle/,https://hutch-asap.com/pages/retail-partners,official_website,official_website → retail_partners,high,HUTCH ASAP 官方合作經銷通路
