brand_slug,name,location_type,channel_type,region_label,address,url,evidence_url,source_type,source_chain,confidence,notes
9-02-nineoootwo,9:02 Nineoootwo 台北實體店,direct_store,offline,台北市,台北市士林區中山北路六段155號,https://nineoootwo.com/,https://www.threads.com/%40nineoootwo/post/Db0poHMmNhg/video-tomorrow-starts-a-new-little-moment-902-summer-sample-salesee-you-tomorrow%E6%98%8E%E5%A4%A9%E8%A6%8B-%E6%B4%BB%E5%8B%95/,official_social_post,web_search → threads_post → current_store_address,high,官方2026-08仍以台北實體店列示；較舊 popup 描述以較新第一方資訊覆蓋
hueiyeh,輝葉良品-民權東路店,direct_store,offline,台北市,台北市松山區民權東路三段110號,https://www.hueiyeh.com.tw/flagship-store,https://www.hueiyeh.com.tw/flagship-store,official_website,official_website → flagship-store,high,官方提醒展示商品依門市調整，體驗前可先電話確認
hueiyeh,輝葉良品-板橋文化店,direct_store,offline,新北市,新北市板橋區文化路一段304號1樓,https://www.hueiyeh.com.tw/flagship-store,https://www.hueiyeh.com.tw/flagship-store,official_website,official_website → flagship-store,high,官方提醒展示商品依門市調整，體驗前可先電話確認
hueiyeh,輝葉良品-桃園三民店,direct_store,offline,桃園市,桃園市桃園區三民路三段190號1樓,https://www.hueiyeh.com.tw/flagship-store,https://www.hueiyeh.com.tw/flagship-store,official_website,official_website → flagship-store,high,官方提醒展示商品依門市調整，體驗前可先電話確認
hueiyeh,輝葉良品-竹北文興店,direct_store,offline,新竹縣,新竹縣竹北市文興路349號,https://www.hueiyeh.com.tw/flagship-store,https://www.hueiyeh.com.tw/flagship-store,official_website,official_website → flagship-store,high,官方提醒展示商品依門市調整，體驗前可先電話確認
hueiyeh,輝葉良品-台中向上店,direct_store,offline,台中市,台中市西區向上路一段480號,https://www.hueiyeh.com.tw/flagship-store,https://www.hueiyeh.com.tw/flagship-store,official_website,official_website → flagship-store,high,官方提醒展示商品依門市調整，體驗前可先電話確認
hueiyeh,輝葉良品-台南西門店,direct_store,offline,台南市,台南市中西區西門路二段102號,https://www.hueiyeh.com.tw/flagship-store,https://www.hueiyeh.com.tw/flagship-store,official_website,official_website → flagship-store,high,官方提醒展示商品依門市調整，體驗前可先電話確認
hueiyeh,輝葉良品-高雄博愛店,direct_store,offline,高雄市,高雄市左營區博愛三路39號,https://www.hueiyeh.com.tw/flagship-store,https://www.hueiyeh.com.tw/flagship-store,official_website,official_website → flagship-store,high,官方提醒展示商品依門市調整，體驗前可先電話確認
misport,源動派體育用品,stockist,offline,台中市,台中市大里區東興里益民路二段352號,,https://www.shop-misport.com/blogs/misport-mini-shop/miniydp,official_website,official_website → mini_shop_article → current_retail_partner,high,MISPORT 官方迷你門市內容明確描述可現場試穿／購買
misport,飛迅羽球仁德旗艦館,stockist,offline,台南市,臺南市仁德區林頂街61號,,https://www.shop-misport.com/blogs/misport-mini-shop/fashion,official_website,official_website → mini_shop_article → current_retail_partner,high,MISPORT 官方迷你門市內容明確描述可現場試穿／購買
misport,唯羽生活 Only Batminton Life,stockist,offline,台北市,台北市北投區西安街一段361號,,https://www.shop-misport.com/blogs/misport-mini-shop/weiyu,official_website,official_website → mini_shop_article → current_retail_partner,high,MISPORT 官方迷你門市內容明確描述可現場試穿／購買
misport,佳龍體育用品社,stockist,offline,彰化縣,彰化市中正路一段66號,https://www.jia-long.com.tw,https://www.shop-misport.com/blogs/misport-mini-shop/jialong,official_website,official_website → mini_shop_article → current_retail_partner,high,MISPORT 官方迷你門市內容明確描述可現場試穿／購買
misport,乒乓樂 永和竹林店,stockist,offline,新北市,新北市永和區竹林路90號2樓,https://pingponglove.com.tw,https://www.shop-misport.com/blogs/misport-mini-shop/tabletennis,official_website,official_website → mini_shop_article → current_retail_partner,high,MISPORT 官方迷你門市內容明確描述可現場試穿／購買
lotus-fitness,Lotus Fitness 展售間,showroom_studio,offline,台中市,台中市北區進化北路238號,https://www.lotusfitness.com.tw/,https://www.lotusfitness.com.tw/,official_website,official_website → footer → appointment_experience_location,high,採預約制，可現場試用並觸摸各材質瑜珈墊
qmat-設計館,誠品書店-南西店,stockist,offline,台北市,,https://qmat.com.tw/pages/qmat-shop,https://qmat.com.tw/pages/qmat-shop,official_website,official_website → qmat-shop → retailer_list,high,官方合作通路頁列分店名稱及電話；僅部分商品，前往前請確認現貨
qmat-設計館,誠品書店-台大店,stockist,offline,台北市,,https://qmat.com.tw/pages/qmat-shop,https://qmat.com.tw/pages/qmat-shop,official_website,official_website → qmat-shop → retailer_list,high,官方合作通路頁列分店名稱及電話；僅部分商品，前往前請確認現貨
qmat-設計館,誠品書店-松菸,stockist,offline,台北市,,https://qmat.com.tw/pages/qmat-shop,https://qmat.com.tw/pages/qmat-shop,official_website,official_website → qmat-shop → retailer_list,high,官方合作通路頁列分店名稱及電話；僅部分商品，前往前請確認現貨
qmat-設計館,馬拉松世界-台北愛國店,stockist,offline,台北市,,https://qmat.com.tw/pages/qmat-shop,https://qmat.com.tw/pages/qmat-shop,official_website,official_website → qmat-shop → retailer_list,high,官方合作通路頁列分店名稱及電話；僅部分商品，前往前請確認現貨
qmat-設計館,誠品書店-新店（裕隆城）,stockist,offline,新北市,,https://qmat.com.tw/pages/qmat-shop,https://qmat.com.tw/pages/qmat-shop,official_website,official_website → qmat-shop → retailer_list,high,官方合作通路頁列分店名稱及電話；僅部分商品，前往前請確認現貨
qmat-設計館,馬拉松世界-竹北店,stockist,offline,新竹縣,,https://qmat.com.tw/pages/qmat-shop,https://qmat.com.tw/pages/qmat-shop,official_website,official_website → qmat-shop → retailer_list,high,官方合作通路頁列分店名稱及電話；僅部分商品，前往前請確認現貨
qmat-設計館,誠品書店-竹北遠百店,stockist,offline,新竹縣,,https://qmat.com.tw/pages/qmat-shop,https://qmat.com.tw/pages/qmat-shop,official_website,official_website → qmat-shop → retailer_list,high,官方合作通路頁列分店名稱及電話；僅部分商品，前往前請確認現貨
qmat-設計館,誠品書店-中友店,stockist,offline,台中市,,https://qmat.com.tw/pages/qmat-shop,https://qmat.com.tw/pages/qmat-shop,official_website,official_website → qmat-shop → retailer_list,high,官方合作通路頁列分店名稱及電話；僅部分商品，前往前請確認現貨
qmat-設計館,誠品書店-台中三井店,stockist,offline,台中市,,https://qmat.com.tw/pages/qmat-shop,https://qmat.com.tw/pages/qmat-shop,official_website,official_website → qmat-shop → retailer_list,high,官方合作通路頁列分店名稱及電話；僅部分商品，前往前請確認現貨
qmat-設計館,誠品書店-南紡店,stockist,offline,台南市,,https://qmat.com.tw/pages/qmat-shop,https://qmat.com.tw/pages/qmat-shop,official_website,official_website → qmat-shop → retailer_list,high,官方合作通路頁列分店名稱及電話；僅部分商品，前往前請確認現貨
qmat-設計館,誠品書店-台南店,stockist,offline,台南市,,https://qmat.com.tw/pages/qmat-shop,https://qmat.com.tw/pages/qmat-shop,official_website,official_website → qmat-shop → retailer_list,high,官方合作通路頁列分店名稱及電話；僅部分商品，前往前請確認現貨
qmat-設計館,誠品書店-高雄義享店,stockist,offline,高雄市,,https://qmat.com.tw/pages/qmat-shop,https://qmat.com.tw/pages/qmat-shop,official_website,official_website → qmat-shop → retailer_list,high,官方合作通路頁列分店名稱及電話；僅部分商品，前往前請確認現貨
qmat-設計館,馬拉松世界-高雄店,stockist,offline,高雄市,,https://qmat.com.tw/pages/qmat-shop,https://qmat.com.tw/pages/qmat-shop,official_website,official_website → qmat-shop → retailer_list,high,官方合作通路頁列分店名稱及電話；僅部分商品，前往前請確認現貨
timu-aqua,Sol Goods,stockist,offline,台北市,台北市大安區四維路26號,https://www.sol-goods.com,https://www.timu-aqua.com/pages/stockist,official_website,official_website → stockist_page,high,10月至3月無陳列泳裝，試穿／購買前請先聯絡確認
timu-aqua,Idiver 海怪水下｜潛水概念店,stockist,offline,新北市,新北市土城區慶利街3號,https://www.idiver.com.tw,https://www.timu-aqua.com/pages/stockist,official_website,official_website → stockist_page,high,
timu-aqua,竹科戶外人,stockist,offline,新竹縣,新竹縣芎林鄉文山路697號,https://www.instagram.com/rdouter697/,https://www.timu-aqua.com/pages/stockist,official_website,official_website → stockist_page,high,
timu-aqua,Slowdive 漫潛,stockist,offline,台中市,台中市北區美德街20號,https://www.slowdive952.com,https://www.timu-aqua.com/pages/stockist,official_website,official_website → stockist_page,high,
