brand_slug,name,location_type,region_label,address,url,evidence_url,source_type,source_chain,confidence,notes
annahome,棉床本舖｜大里取貨／門市,direct_store,台中,台中市大里區德芳南路375號,https://www.annahome.co/,https://www.annahome.co/pages/location,official_website,official website → store/location page,high,官方據點資訊；375號為取貨／門市據點。
annahome,棉床本舖｜大里體驗門市,showroom_studio,台中,台中市大里區德芳南路379號,https://www.annahome.co/,https://www.annahome.co/pages/location,official_website,official website → store/location page,high,官方據點資訊；可現場體驗。
anta-pottery,安達窯 九份店,direct_store,新北,新北市瑞芳區輕便路129號,https://www.anta.com.tw/,https://www.anta.com.tw/zh-TW/blogs/營業據點/httpsantacyberbizcozh-tw,official_website,official website → store/location page,high,
anta-pottery,安達窯 鶯歌旗艦店,direct_store,新北,新北市鶯歌區尖山埔路54號,https://www.anta.com.tw/,https://www.anta.com.tw/zh-TW/blogs/營業據點/httpsantacyberbizcozh-tw,official_website,official website → store/location page,high,
anta-pottery,安達窯 鶯歌老街二館,direct_store,新北,新北市鶯歌區尖山埔路21號,https://www.anta.com.tw/,https://www.anta.com.tw/zh-TW/blogs/營業據點/httpsantacyberbizcozh-tw,official_website,official website → store/location page,high,
cypress-house,原木哲學 Feelosophy 展示／工作室,showroom_studio,高雄,高雄市仁武區八德二路160巷77弄18-1號,https://www.feelosophydesign.com/,https://www.feelosophydesign.com/,official_website,official website → store/location page,high,官方空間；建議預約後前往。
dasuit,大適 Dasuit 預約體驗空間,showroom_studio,台北,台北市松山區南京東路四段186號7樓之8,https://www.dasuit.com.tw/,https://www.dasuit.com.tw/pages/contact-us,official_website,official website → store/location page,high,採預約制。
float-living,TSUTAYA BOOKSTORE 南港店,stockist,台北,台北市南港區忠孝東路七段369號A棟2樓,,https://www.floatliving.co/pages/store,official_website,official website → store/location page,high,官方販售據點頁目前列出的常態通路。
float-living,TSUTAYA BOOKSTORE 高雄大立店,stockist,高雄,高雄市前金區五福三路57號1、2樓,,https://www.floatliving.co/pages/store,official_website,official website → store/location page,high,官方販售據點頁目前列出的常態通路。
hh-healthy-happy,HOW LIVING 美好生活家居,stockist,台中,台中市南屯區文心南路289號5樓,,https://www.pinkoi.com/product/3XwBjAhS,official_marketplace,official Pinkoi brand/product page → physical stockist list,high,品牌官方 Pinkoi 頁列示之實體販售點；現場庫存可能依店別變動。
hh-healthy-happy,MARAIS 瑪黑家居 LaLaport 台中櫃位,stockist,台中,台中市東區進德路600號北館2樓,,https://www.pinkoi.com/product/3XwBjAhS,official_marketplace,official Pinkoi brand/product page → physical stockist list,high,品牌官方 Pinkoi 頁列示之實體販售點；現場庫存可能依店別變動。
hh-healthy-happy,中友百貨｜生活好品,stockist,台中,台中市北區三民路三段169號B棟13樓,,https://www.pinkoi.com/product/3XwBjAhS,official_marketplace,official Pinkoi brand/product page → physical stockist list,high,品牌官方 Pinkoi 頁列示之實體販售點；現場庫存可能依店別變動。
hh-healthy-happy,IUSE 台北旗艦店,stockist,台北,台北市內湖區舊宗路二段135巷16號,,https://www.pinkoi.com/product/3XwBjAhS,official_marketplace,official Pinkoi brand/product page → physical stockist list,high,品牌官方 Pinkoi 頁列示之實體販售點；現場庫存可能依店別變動。
hh-healthy-happy,MARAIS 瑪黑家居 中山門市,stockist,台北,台北市中山區中山北路二段36巷18號,,https://www.pinkoi.com/product/3XwBjAhS,official_marketplace,official Pinkoi brand/product page → physical stockist list,high,品牌官方 Pinkoi 頁列示之實體販售點；現場庫存可能依店別變動。
hh-healthy-happy,MARAIS 瑪黑家居 安和門市,stockist,台北,台北市大安區安和路一段53號,,https://www.pinkoi.com/product/3XwBjAhS,official_marketplace,official Pinkoi brand/product page → physical stockist list,high,品牌官方 Pinkoi 頁列示之實體販售點；現場庫存可能依店別變動。
hh-healthy-happy,MARAIS 瑪黑家居 敦南門市,stockist,台北,台北市松山區敦化南路一段57-1號,,https://www.pinkoi.com/product/3XwBjAhS,official_marketplace,official Pinkoi brand/product page → physical stockist list,high,品牌官方 Pinkoi 頁列示之實體販售點；現場庫存可能依店別變動。
hh-healthy-happy,TSUTAYA BOOKSTORE CITYLINK 內湖店,stockist,台北,台北市內湖區成功路四段188號1樓,,https://www.pinkoi.com/product/3XwBjAhS,official_marketplace,official Pinkoi brand/product page → physical stockist list,high,品牌官方 Pinkoi 頁列示之實體販售點；現場庫存可能依店別變動。
hh-healthy-happy,TSUTAYA BOOKSTORE CITYLINK 南港店,stockist,台北,台北市南港區忠孝東路七段369號A棟2樓,,https://www.pinkoi.com/product/3XwBjAhS,official_marketplace,official Pinkoi brand/product page → physical stockist list,high,品牌官方 Pinkoi 頁列示之實體販售點；現場庫存可能依店別變動。
hh-healthy-happy,TSUTAYA BOOKSTORE CITYLINK 松山店,stockist,台北,台北市信義區松山路11號3樓,,https://www.pinkoi.com/product/3XwBjAhS,official_marketplace,official Pinkoi brand/product page → physical stockist list,high,品牌官方 Pinkoi 頁列示之實體販售點；現場庫存可能依店別變動。
hh-healthy-happy,新光三越台北信義新天地 A8 IUSE 櫃位,stockist,台北,台北市信義區松高路12號7樓,,https://www.pinkoi.com/product/3XwBjAhS,official_marketplace,official Pinkoi brand/product page → physical stockist list,high,品牌官方 Pinkoi 頁列示之實體販售點；現場庫存可能依店別變動。
hh-healthy-happy,民藝埕,stockist,台北,台北市大同區迪化街一段67號,,https://www.pinkoi.com/product/3XwBjAhS,official_marketplace,official Pinkoi brand/product page → physical stockist list,high,品牌官方 Pinkoi 頁列示之實體販售點；現場庫存可能依店別變動。
hh-healthy-happy,新光三越台南西門新天地 IUSE 櫃位,stockist,台南,台南市中西區西門路一段658號B1,,https://www.pinkoi.com/product/3XwBjAhS,official_marketplace,official Pinkoi brand/product page → physical stockist list,high,品牌官方 Pinkoi 頁列示之實體販售點；現場庫存可能依店別變動。
hh-healthy-happy,CHOCOOLEE 巧克莉莉,stockist,彰化,彰化縣員林市萬年路三段61號,,https://www.pinkoi.com/product/3XwBjAhS,official_marketplace,official Pinkoi brand/product page → physical stockist list,high,品牌官方 Pinkoi 頁列示之實體販售點；現場庫存可能依店別變動。
hh-healthy-happy,TSUTAYA BOOKSTORE 高雄大立店,stockist,高雄,高雄市前金區五福三路57號1、2樓,,https://www.pinkoi.com/product/3XwBjAhS,official_marketplace,official Pinkoi brand/product page → physical stockist list,high,品牌官方 Pinkoi 頁列示之實體販售點；現場庫存可能依店別變動。
hokii,Bhome 詠晟國際,stockist,台北,台北市大安區麗水街17巷8之1號,,https://hokii.com/pages/store-locator,official_website,official website → store/location page,high,
hokii,在地台灣好物選品店,stockist,桃園,桃園市桃園區新埔五街12號,,https://hokii.com/pages/store-locator,official_website,official website → store/location page,high,
home-desyne,晴傢飾,stockist,台中,台中市南屯區精科路132號,,https://www.homedesyne.com/pages/sales-office-1,official_website,official website → store/location page,high,
home-desyne,銘傑窗簾傢飾 台中店,stockist,台中,台中市北屯區崇德八路一段134號,,https://www.homedesyne.com/pages/sales-office-1,official_website,official website → store/location page,high,
home-desyne,歐雅（雅閣）窗簾傢飾,stockist,台南,台南市安平區文平路358號,,https://www.homedesyne.com/pages/sales-office-1,official_website,official website → store/location page,high,
home-desyne,清晨窗簾傢飾,stockist,台南,台南市南區健康路二段537號,,https://www.homedesyne.com/pages/sales-office-1,official_website,official website → store/location page,high,
home-desyne,莉芙傢飾,stockist,嘉義,嘉義市東區民樂街152號,,https://www.homedesyne.com/pages/sales-office-1,official_website,official website → store/location page,high,
home-desyne,藝樹窗簾傢飾,stockist,宜蘭,宜蘭縣壯圍鄉壯五路298號,,https://www.homedesyne.com/pages/sales-office-1,official_website,official website → store/location page,high,
home-desyne,馥美家窗簾傢飾,stockist,屏東,屏東縣屏東市廣東路1120號,,https://www.homedesyne.com/pages/sales-office-1,official_website,official website → store/location page,high,
home-desyne,嘉展窗簾傢飾,stockist,彰化,彰化縣彰化市大埔路319號,,https://www.homedesyne.com/pages/sales-office-1,official_website,official website → store/location page,high,
