brand_slug,name,location_type,region_label,address,url,evidence_url,source_type,source_chain,confidence,notes
febbi,FEBBI 誠品生活南西 4F,department_store_counter,臺北市,台北市中山區南京西路14號4樓,https://meet.eslite.com/tw/tc/store/201808020001,https://meet.eslite.com/tw/tc/store/201808020001,retailer_website,retailer_website → current_store_directory → 4F,high,
unigaze,UNIGAZE 慢火金工創作室,showroom_studio,桃園市,桃園市八德區大福街68號1F,https://www.instagram.com/unigaze_metalart/,https://www.instagram.com/unigaze_metalart/,instagram_bio,instagram_profile → bio → studio_address,high,提供金工體驗與現成飾品販售。
robber-925-silver,海洋芒果潛水裝備專賣店 大安店,stockist,臺北市,106台北市大安區復興南路二段148巷12號,,https://www.threads.com/%40robber925silver/video/DXl8sv6j7eR/video-%E4%BB%8A%E5%A4%A9%E5%B8%B6%E4%BD%A0%E9%80%9B%E9%80%9B%E6%88%91%E5%80%91%E5%94%AF%E4%B8%80%E7%9A%84%E5%AF%84%E5%94%AE%E9%BB%9E%E5%89%9B%E5%A5%BD%E5%A4%8F%E5%A4%A9%E8%A6%81%E5%88%B0%E4%BA%86%E6%98%AF%E5%80%8B%E7%8E%A9%E6%B0%B4%E7%9A%84%E5%A5%BD%E5%AD%A3%E7%AF%80%E5%BF%AB%E5%8E%BB%E6%B5%B7%E6%B4%8B%E8%8A%92%E6%9E%9C%E5%A4%A7%E5%AE%89%E5%BA%97%E9%80%9B%E9%80%9B%E6%B5%B7%E6%B4%8B%E7%94%A8%E5%85%B7%E5%90%A7oceanmangotw/,official_social_post,official_threads → current_stockist_post,high,品牌官方貼文標示為目前唯一寄售點。
shiye,國家兩廳院 國家音樂廳 好藝術空間,stockist,臺北市,臺北市中正區中山南路21-1號,,https://shiyecraft.com/sales-base/,official_website,official_website → sales_base,high,
shiye,松山文創園區 松菸風格店家 紅烏龍合作社A7,stockist,臺北市,臺北市信義區光復南路133號 東向製菸工廠一樓,,https://shiyecraft.com/sales-base/,official_website,official_website → sales_base,high,
shiye,坪林茶業博物館 草木間,stockist,新北市,新北市坪林區水德里水聳淒坑19-1號,,https://shiyecraft.com/sales-base/,official_website,official_website → sales_base,high,
shiye,鉐葉工作室,showroom_studio,新北市,新北市板橋區文化路一段387巷26號一樓,,https://shiyecraft.com/sales-base/,official_website,official_website → sales_base,high,官方列為銷售據點，預約制。
shiye,礁溪老爺酒店 藝品店,stockist,宜蘭縣,宜蘭縣礁溪鄉五峰路69號,,https://shiyecraft.com/sales-base/,official_website,official_website → sales_base,high,
shiye,臺中國家歌劇院 紅烏龍合作社,stockist,臺中市,臺中市西屯區惠來路二段101號,,https://shiyecraft.com/sales-base/,official_website,official_website → sales_base,high,
shiye,雲品溫泉酒店 雲想精品店,stockist,南投縣,南投縣魚池鄉中正路23號,,https://shiyecraft.com/sales-base/,official_website,official_website → sales_base,high,
shiye,The One 南園人文休閒客棧 琴德堂,stockist,新竹縣,新竹縣新埔鎮九芎湖32號,,https://shiyecraft.com/sales-base/,official_website,official_website → sales_base,high,官方銷售據點頁標示預約制。
molasses,Molasses 信義門市,direct_store,臺北市,106台北市大安區信義路四段380號2樓（Workler 工作樂）,https://www.molasses.com.tw/,https://www.molasses.com.tw/about-molasses-%E5%93%81%E7%89%8C%E5%BD%A2%E8%B1%A1%E9%A0%81,official_website,official_website → store_information,high,平日晚間、週末及國定假日採預約制。
5am-jewelry,5AM Jewelry 工作室,showroom_studio,臺北市,台北市大同區迪化街一段21號4樓016室,https://www.instagram.com/5amjewelry/,https://www.instagram.com/5amjewelry/,instagram_bio,instagram_profile → bio → appointment_studio,high,全預約制。
mountopia,Mountopia® 山托邦 實體門市與工作室,direct_store,臺北市,台北市大安區信義路四段36號3樓,https://mountopia.tw/pages/%E9%97%9C%E6%96%BC%E6%88%91%E5%80%91,https://mountopia.tw/pages/%E9%97%9C%E6%96%BC%E6%88%91%E5%80%91,official_website,official_website → about → physical_store_and_studio,high,
in-the-mountains,往山裡走 In The Mountains 華山1914店,direct_store,臺北市,台北市中正區八德路一段1號 蒸餾室 M4C,https://www.inthemountains-art.com/pages/about-in-the-mountains,https://www.inthemountains-art.com/pages/about-in-the-mountains,official_website,official_website → about → physical_store,high,
in-the-mountains,往山裡走 In The Mountains 台南友愛店,direct_store,臺南市,台南市中西區友愛街52號,https://www.inthemountains-art.com/pages/about-in-the-mountains,https://www.inthemountains-art.com/pages/about-in-the-mountains,official_website,official_website → about → physical_store,high,
petit-madam,Petit Madam 台北預約鑑賞店,showroom_studio,臺北市,台北市大安區文昌街140號1樓,,https://www.instagram.com/p/DMKVV3hh_Rc/,official_social_post,official_instagram → appointment_showroom_post,high,預約制鑑賞店。
petit-madam,Petit Madam 板橋預約鑑賞店,showroom_studio,新北市,新北市板橋區民生路二段226巷10弄20號,,https://www.instagram.com/p/DSuNEMyksBa/?img_index=5,official_social_post,official_instagram → appointment_showroom_post,high,預約制鑑賞店。
seeseamylove,向陽薪傳木工坊（阿底旦文化故事館）,stockist,臺東縣,963台東縣太麻里鄉多良村2鄰15號,https://calavirelife.wixsite.com/calavitaratara,https://www.instagram.com/p/DZmRCM6ia7i/,official_social_post,official_instagram → current_consignment_post → retailer_website,high,
elephantsgogo,象往 elephantsgogo 誠品生活板橋 4F,shop_in_shop,新北市,新北市板橋區中山路一段46號4F,https://meet.eslite.com/tw/tc/store/20180220006,https://www.facebook.com/eslite.spectrum/posts/%E8%B1%A1%E5%BE%80-elephantsgogo%E5%85%A8%E6%96%B0%E7%99%BB%E5%A0%B4%E8%B7%9F%E8%91%97%E6%9C%80%E7%8D%A8%E6%A8%B9%E4%B8%80%E5%B9%9F%E7%9A%84%E9%A3%BE%E5%93%81%E4%B8%80%E8%B5%B7%E8%BF%8E%E6%8E%A52026%E5%B9%B4%E8%B1%A1%E5%BE%80%E5%8F%96%E8%87%AA%E5%9A%AE%E5%BE%80%E7%9A%84%E8%AB%A7%E9%9F%B3%E5%BE%9E%E5%AE%88%E8%AD%B7%E8%B1%A1%E7%BE%A4%E7%9A%84%E5%88%9D%E5%BF%83%E5%87%BA%E7%99%BC%E5%B0%87%E5%82%B3%E6%89%BF%E5%8D%83%E5%B9%B4%E7%9A%84-%E9%8A%80%E7%B5%B2%E5%B7%A5%E8%97%9D%E7%B5%90%E5%90%88%E7%8F%BE%E4%BB%A3%E6%96%87%E5%8C%96%E9%80%8F%E9%81%8E%E6%89%8B%E4%BD%9C%E9%87%91/1349348487233973/,retailer_social,retailer_facebook → new_opening → 4F; retailer_website → store_address,high,
dazzle-jewelry,國家兩廳院 國家音樂廳 好藝術空間,stockist,臺北市,臺北市中正區中山南路21-1號,,https://www.threads.com/%40dazzleofficial.co/post/DUsOaRZkVmx/%E5%AF%84%E5%94%AE%E8%B3%87%E8%A8%8A%E7%8E%B3%E4%BD%9Cdazzle%E5%9C%8B%E5%AE%B6%E5%85%A9%E5%BB%B3%E9%99%A2%E9%9F%B3%E6%A8%82%E5%BB%B3%E5%A5%BD%E8%97%9D%E8%A1%93%E7%A9%BA%E9%96%93%E4%B8%AD%E6%AD%A3%E7%B4%80%E5%BF%B5%E5%A0%82%E7%AB%995%E8%99%9F%E5%87%BA%E5%8F%A3-1200-2100,official_social_post,official_threads → current_consignment_post,high,
