brand_slug,name,location_type,channel_type,category_label,region_label,address,url,evidence_url,source_type,source_chain,confidence,notes
2angels,Lalaport 南港 Hugger專櫃,department_store_counter,offline,kids-pets,台北市,台北市南港區經貿二路131號4F／室內區,,https://shop.2angelsbaby.com/pages/taiwan-retailers,official_website,official_website → taiwan-retailers,medium,地址由官方零售據點頁的索引內容取得；到店前建議確認庫存
2angels,大誠婦幼萬華館,stockist,offline,kids-pets,台北市,台北市艋舺大道156號,,https://shop.2angelsbaby.com/pages/taiwan-retailers,official_website,official_website → taiwan-retailers,medium,地址由官方零售據點頁的索引內容取得；到店前建議確認庫存
2angels,SOGO 崇光百貨 銅鑼灣店,stockist,offline,kids-pets,香港,香港銅鑼灣軒尼詩道555號,,https://shop.2angelsbaby.com/pages/hong-kong-retailers,official_website,official_website → hong-kong-retailers,high,
2angels,SOGO 崇光百貨 啟德店 (The Twin),stockist,offline,kids-pets,香港,九龍啟德沐翠街12號,,https://shop.2angelsbaby.com/pages/hong-kong-retailers,official_website,official_website → hong-kong-retailers,high,
2angels,一田百貨 YATA 沙田店,stockist,offline,kids-pets,香港,香港沙田正街新城市廣場三期一、二座,,https://shop.2angelsbaby.com/pages/hong-kong-retailers,official_website,official_website → hong-kong-retailers,high,
2angels,永安百貨 Wing On 上環總店,stockist,offline,kids-pets,香港,香港上環德輔道中211號 永安中心,,https://shop.2angelsbaby.com/pages/hong-kong-retailers,official_website,official_website → hong-kong-retailers,high,
2angels,永安百貨 Wing On 彌敦道店,stockist,offline,kids-pets,香港,九龍彌敦道345號 永安九龍中心,,https://shop.2angelsbaby.com/pages/hong-kong-retailers,official_website,official_website → hong-kong-retailers,high,
2angels,奶泵城母嬰用品店,stockist,offline,kids-pets,香港,香港北角英皇道389號豫港電力發展大廈23樓,,https://shop.2angelsbaby.com/pages/hong-kong-retailers,official_website,official_website → hong-kong-retailers,high,
2angels,Baby HK 母嬰用品專門店 旺角店,stockist,offline,kids-pets,香港,九龍彌敦道610號荷李活商業中心11樓1119-23室,,https://shop.2angelsbaby.com/pages/hong-kong-retailers,official_website,official_website → hong-kong-retailers,high,
2angels,Baby HK 母嬰用品專門店 銅鑼灣店,stockist,offline,kids-pets,香港,香港銅鑼灣百德新街2號恒隆中心8樓809-811室,,https://shop.2angelsbaby.com/pages/hong-kong-retailers,official_website,official_website → hong-kong-retailers,high,
